id,Year,Category,Nominee
928,1980,"Best Jazz Fusion Performance, Vocal or Instrumental",8:30
1223,1985,"Best Engineered Recording, Non-Classical",17
3685,2012,Album of the Year,21
3732,2012,Best Pop Vocal Album,21
4100,2017,Album of the Year,25
4149,2017,Best Pop Vocal Album,25
3396,2009,Best Latin Rock or Alternative Album,45
3474,2010,Best Contemporary Jazz Album,75
3119,2006,Best Traditional Blues Album,80
4020,2016,Album of the Year,1989
4073,2016,Best Pop Vocal Album,1989
1783,1992,Best Song Written Specifically for a Motion Picture or for Television,(Everything I Do) I Do It For You.
2544,2001,Best Jazz Instrumental Solo,(Go) Get It
709,1976,Best Country Song,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song
760,1977,"Best Country Vocal Performance, Male",(I'm A) Stand By My Woman Man
1456,1988,Best Pop Performance By A Duo Or Group With Vocal,(I've Had) The Time Of My Life.
409,1969,Best Rhythm & Blues Song,(Sittin' On) The Dock Of The Bay
411,1969,"Best Rhythm & Blues Vocal Performance, Male",(Sittin' On) The Dock Of The Bay
1034,1982,"Best Country Vocal Performance, Male",(There's) No Gettin' Over Me.
2828,2004,Best Contemporary Soul Gospel Album,...Again
3209,2007,Best Recording Package,"10,000 Days"
3783,2013,Best Contemporary Christian Music Song,"10,000 Reasons (Bless The Lord)"
3797,2013,Best Gospel/Contemporary Christian Music Performance,"10,000 Reasons (Bless The Lord)"
2460,2000,Best Mexican-American Performance,100 Años De Mariachi
3294,2008,Best Mexican/Mexican–American Album,100% Mexicano
2980,2005,Best Pop Instrumental Performance,11th Commandment
1754,1992,Best Mexican-American Album,16 de Septiembre
3979,2015,Best Music Film,20 Feet from Stardom
3631,2011,Best Native American Music Album,2010 Gathering Of Nations Pow Wow: A Spirit's Dance (Various Artists)
3540,2010,Best Rock Album,21st Century Breakdown.
4024,2016,Best American Roots Song,24 Frames
4175,2018,Album of the Year,24K Magic
4206,2018,"Best Engineered Album, Non-Classical",24K Magic
4230,2018,Best R&B Album,24K Magic
4259,2018,Record of the Year,24K Magic
2826,2004,Best Contemporary Jazz Album,34th N Lex
1843,1993,Best Polka Album,35th Anniversary
4203,2018,Best Dance/Electronic Album,3-D The Catalogue
4204,2018,Best Dance/Electronica Album,3-D The Catalogue
3032,2006,Best Classical Crossover Album,4 + Four
4324,2019,Best Reggae Album,44/876
3716,2012,Best Improvised Jazz Solo,500 Miles High
2546,2001,Best Large Jazz Ensemble Album,52nd Street Themes
899,1980,Album of the Year,52nd Street.
939,1980,"Best Pop Vocal Performance, Male",52nd Street.
3105,2006,Best Rock Instrumental Performance,69 Freedom Special
1315,1986,Best Polka Recording,70 Years Of Hits.
1430,1988,"Best Country Vocal Performance, Female",80's Ladies.
1233,1985,"Best Jazz Instrumental Performance, Big Band",88 Basie Street.
1032,1982,Best Country Song,9 to 5
1033,1982,"Best Country Vocal Performance, Female",9 to 5.
2989,2005,Best Rap Solo Performance,99 Problems
845,1979,Best Album Notes,"A Bing Crosby Collection, Vols. I & II"
436,1970,Best Country Song,A Boy Named Sue
439,1970,"Best Country Vocal Performance, Male",A Boy Named Sue
2443,2000,"Best Instrumental Composition Written for a Motion Picture, Television or Other Visual Media",A Bug's Life
1719,1992,Best Album for Children,A Capella Kids
3612,2011,Best Improvised Jazz Solo,A Change Is Gonna Come
2799,2003,Best Traditional Blues Album,A Christmas Celebration Of Hope
3541,2010,Best Rock Instrumental Performance,A Day In The Life
2660,2002,Best New Age Album,A Day Without Rain
3309,2008,Best Pop/Contemporary Gospel Album,A Deeper Level
4243,2018,Best Rock Album,A Deeper Understanding
3937,2015,Best American Roots Performance,A Feather's Not a Bird.
3938,2015,Best American Roots Song,A Feather's Not a Bird.
4090,2016,"Best Spoken Word Album (includes poetry, audio books & storytelling)",A Full Life: Reflections at Ninety
2918,2005,Best Alternative Music Album,A Ghost is Born
2992,2005,Best Recording Package,A Ghost Is Born
3295,2008,Best Musical Album for Children,A Green and Red Christmas
230,1965,Best Performance by a Vocal Group,A Hard Day's Night
3122,2006,Best Traditional R&B Vocal Performance,A House Is Not a Home
1151,1984,"Best Country Vocal Performance, Female",A Little Good News.
2853,2004,Best Jazz Vocal Album,A Little Moonlight
640,1974,Best Score from the Original Cast Show Album,A Little Night Music (Various Artists)
3249,2008,Best Classical Crossover Album,A Love Supreme: The Legacy Of John Coltrane
316,1967,Best Performance by a Vocal Group,A Man And A Woman
287,1967,Album of the Year,A Man And His Music
1953,1994,Best World Music Album,A Meeting By The River
3915,2014,Best Regional Mexican Music Album (including tejano),A Mi Manera
2899,2004,"Best Song Written for a Motion Picture, Television or Other Visual Media",A Mighty Wind
3423,2009,Best Rap Solo Performance,A Milli
544,1972,"Best R&B Vocal Performance, Male",A Natural Man
1420,1988,Best Comedy Recording,A Night At The Met.
1071,1982,Best Vocal Arrangement for Two or More Voices,A Nightingale Sang In Berkeley Square.
990,1981,"Best Jazz Vocal Performance, Female",A Perfect Match - Ella And Basie.
1454,1988,Best Polka Recording,A Polka Just For Me.
3170,2007,Best Instrumental Composition,A Prayer For Peace
45,1961,Best Classical Performance- Vocal Soloist,A Program Of Song - Leontyne Price Recital.
4061,2016,Best Latin Pop Album,A Quien Quiera Escuchar (Deluxe Edition)
2709,2003,Best Alternative Music Album,A Rush Of Blood To The Head
4122,2017,Best Country Album,A Sailors Guide To Earth
2833,2004,Best Country Performance by a Duo or Group with Vocal,A Simple Life
2330,1999,Best Country Instrumental Performance,A Soldier's Joy
2796,2003,Best Spoken Word Album,A Song Flung Up To Heaven
3556,2010,Best Traditional Blues Album,A Stranger Here
3284,2008,Best Large Jazz Ensemble Album,A Tale Of God's Will (A Requiem For Katrina)
