rank,Youtuber,subscribers,video views,video count,category,started
1,T-Series,222000000.00,198459090822.00,17317.00,Music,2006
2,YouTube Movies,154000000.00,0.00,0.00,Film & Animation,2015
3,Cocomelon - Nursery Rhymes,140000000.00,135481339848.00,786.00,Education,2006
4,SET India,139000000.00,125764252686.00,91271.00,Shows,2006
5,Music,116000000.00,0.00,0.00,,2013
6,PewDiePie,111000000.00,28469458228.00,4497.00,Gaming,2010
7,MrBeast,102000000.00,16832456681.00,726.00,Entertainment,2012
8,✿ Kids Diana Show,99700000.00,79602288245.00,1009.00,People & Blogs,2015
9,Like Nastya,99200000.00,81963845811.00,702.00,People & Blogs,2016
10,Gaming,92700000.00,0.00,0.00,,2013
11,WWE,90200000.00,70544743313.00,63077.00,Sports,2007
12,Zee Music Company,86700000.00,49067711243.00,6603.00,Music,2014
13,Vlad and Niki,85100000.00,66498762660.00,472.00,Entertainment,2018
14,5-Minute Crafts,77100000.00,23881457195.00,5581.00,Howto & Style,2016
15,BLACKPINK,76200000.00,24707415704.00,397.00,People & Blogs,2016
16,Sports,75100000.00,0.00,0.00,,2013
17,Goldmines,74100000.00,18533088438.00,3968.00,Film & Animation,2012
18,Sony SAB,70600000.00,82473581441.00,56295.00,Shows,2007
19,BANGTANTV,70000000.00,17471090750.00,1787.00,Music,2012
20,Justin Bieber,69700000.00,28567240999.00,247.00,Music,2007
21,HYBE LABELS,67800000.00,24013849120.00,971.00,Music,2008
22,Canal KondZilla,65900000.00,36576704790.00,2313.00,Music,2012
23,Zee TV,63000000.00,17111576122.00,60802.00,Entertainment,2005
24,Shemaroo Filmi Gaane,61300000.00,28579945247.00,7884.00,Music,2010
25,Pinkfong Baby Shark - Kids' Songs & Stories,59400000.00,32107290522.00,2374.00,Education,2011
26,Dude Perfect,58100000.00,14742860905.00,297.00,Sports,2009
27,ChuChu TV Nursery Rhymes & Kids Songs,57700000.00,39266652127.00,506.00,Education,2013
28,Movieclips,57600000.00,58839819120.00,39202.00,Film & Animation,2006
29,Marshmello,55700000.00,13445424556.00,401.00,Entertainment,2015
